,production_country,movie_count
0,Afghanistan,4
1,Albania,3
2,Algeria,9
3,Angola,2
4,Argentina,244
5,Armenia,9
6,Aruba,4
7,Australia,587
8,Austria,181
9,Azerbaijan,1
10,Bahamas,5
11,Bangladesh,2
12,Belarus,7
13,Belgium,365
14,Bermuda,1
15,Bhutan,3
16,Bolivia,9
17,Bosnia and Herzegovina,24
18,Botswana,2
19,Brazil,313
20,Brunei Darussalam,1
21,Bulgaria,40
22,Burkina Faso,12
23,Cambodia,6
24,Cameroon,4
25,Canada,1769
26,Chad,2
27,Chile,59
28,China,351
29,Colombia,21
30,Congo,5
31,Costa Rica,7
32,Croatia,36
33,Cuba,16
34,Cyprus,2
35,Czech Republic,188
36,Czechoslovakia,9
37,Denmark,352
38,Dominican Republic,7
39,East Germany,8
40,Ecuador,5
41,Egypt,22
42,El Salvador,1
43,Estonia,52
44,Ethiopia,4
45,Finland,384
46,France,3233
47,Georgia,23
48,Germany,1699
49,Ghana,2
50,Greece,151
51,Guatemala,1
52,Hong Kong,556
53,Hungary,146
54,Iceland,55
55,India,940
56,Indonesia,34
57,Iran,106
58,Iraq,2
59,Ireland,151
60,Israel,118
61,Italy,1784
62,Jamaica,5
63,Japan,1780
64,Jordan,5
65,Kazakhstan,17
66,Kyrgyz Republic,5
67,Latvia,22
68,Lebanon,6
69,Liberia,2
70,Libyan Arab Jamahiriya,6
71,Liechtenstein,1
72,Lithuania,17
73,Luxembourg,33
74,Macedonia,7
75,Malaysia,8
76,Mali,1
77,Malta,4
78,Martinique,1
79,Mauritania,3
80,Mexico,274
81,Monaco,1
82,Mongolia,5
83,Montenegro,1
84,Morocco,17
85,Myanmar,1
86,Namibia,2
87,Nepal,2
88,Netherlands,284
89,New Zealand,104
90,Nicaragua,1
91,Nigeria,5
92,North Korea,1
93,Norway,142
94,Pakistan,14
95,Palestinian Territory,13
96,Panama,3
97,Papua New Guinea,1
98,Paraguay,1
99,Peru,15
100,Philippines,78
101,Poland,318
102,Portugal,83
103,Puerto Rico,4
104,Qatar,8
105,Romania,104
106,Russia,922
107,Rwanda,2
108,Samoa,1
109,Saudi Arabia,1
110,Senegal,12
111,Serbia,76
112,Singapore,22
113,Slovakia,7
114,Slovenia,16
115,South Africa,78
116,South Korea,544
117,Soviet Union,23
118,Spain,722
119,Sri Lanka,3
120,Sweden,474
121,Switzerland,105
122,Syrian Arab Republic,1
123,Taiwan,96
124,Tajikistan,2
125,Tanzania,1
126,Thailand,103
127,Trinidad and Tobago,2
128,Tunisia,3
129,Turkey,158
130,Uganda,2
131,Ukraine,34
132,United Arab Emirates,22
133,United Kingdom,3678
134,United States Minor Outlying Islands,1
135,United States of America,22198
136,Uruguay,9
137,Uzbekistan,4
138,Venezuela,11
139,Vietnam,8
140,Yugoslavia,5
